domain,split,instance_id,prediction_label,truncated_top2_pair,regularized_pair,exact_pair_match,overlap_count,retained_features,dropped_features,added_features,regularized_nonzero_count,unregularized_pair_reproduced,stored_raw_shap_values,recomputed_unregularized_values,regularized_values
diabetes,testing,42,Diabetes,blood_pressure | age,blood_pressure | age,1,2,blood_pressure | age,,,2,1,"[-0.024969651568304302,-0.13865980689238544,-0.10973605542608461,-0.07622431489926387,-0.2337539794785255]","[-0.024969651568304302,-0.13865980689238544,-0.10973605542608461,-0.07622431489926387,-0.2337539794785255]","[0.0,-0.24412481783921186,0.0,0.0,-0.3392189904253518]"
diabetes,testing,26,Diabetes,glucose | blood_pressure,glucose | blood_pressure,1,2,glucose | blood_pressure,,,2,1,"[-0.39896521501156224,-0.20718041997941744,-0.028251973923264617,-0.04383054783007284,-0.03057827575426153]","[-0.39896521501156224,-0.20718041997941744,-0.028251973923264617,-0.04383054783007284,-0.03057827575426153]","[-0.45029561376536165,-0.258510818733217,0.0,0.0,0.0]"
diabetes,testing,7,Diabetes,insulin | age,insulin | age,1,2,insulin | age,,,2,1,"[-0.01619189872070209,-0.053720733991763914,-0.27002304996698123,-0.1010227053342348,-0.27946114566984837]","[-0.01619189872070209,-0.053720733991763914,-0.27002304996698123,-0.1010227053342348,-0.27946114566984837]","[0.0,0.0,-0.3554907189903317,0.0,-0.3649288146931987]"
diabetes,testing,56,Diabetes,blood_pressure | age,blood_pressure | age,1,2,blood_pressure | age,,,2,1,"[-0.0577141174077937,-0.23175510334249538,0.06405507428743909,-0.15289351847361782,-0.24068458116048275]","[-0.0577141174077937,-0.23175510334249538,0.06405507428743909,-0.15289351847361782,-0.24068458116048275]","[0.0,-0.30503138413948166,0.0,0.0,-0.3139608619574689]"
diabetes,testing,33,Diabetes,bmi | age,bmi | age,1,2,bmi | age,,,2,1,"[-0.06790008642562645,-0.114375247093563,0.023359042786416095,-0.1263766800116353,-0.1335324713230488]","[-0.06790008642562645,-0.114375247093563,0.023359042786416095,-0.1263766800116353,-0.1335324713230488]","[0.0,0.0,0.0,-0.20583482537802195,-0.21299061668943547]"
diabetes,testing,59,No Diabetes,glucose | bmi,glucose | bmi,1,2,glucose | bmi,,,2,1,"[0.0966437985167416,0.04160737993566277,0.009742646787911827,0.09038294012130735,-0.014349619238953698]","[0.0966437985167416,0.04160737993566277,0.009742646787911827,0.09038294012130735,-0.014349619238953698]","[0.11514400225905198,0.0,0.0,0.10888314386361785,0.0]"
diabetes,testing,0,No Diabetes,glucose | blood_pressure,glucose | blood_pressure,1,2,glucose | blood_pressure,,,2,1,"[-0.18362860672410442,0.17384559418441387,0.009365214161897232,-0.10349205697163545,0.10177464753675204]","[-0.18362860672410442,0.17384559418441387,0.009365214161897232,-0.10349205697163545,0.10177464753675204]","[-0.17980470436059762,0.17766949654792089,0.0,0.0,0.0]"
diabetes,testing,12,No Diabetes,glucose | blood_pressure,glucose | blood_pressure,1,2,glucose | blood_pressure,,,2,1,"[0.1478055622091516,0.18970218854258045,-0.005929566518648954,-0.03180513982551471,-0.051677062601860446]","[0.1478055622091516,0.18970218854258045,-0.005929566518648954,-0.03180513982551471,-0.051677062601860446]","[0.10309967773613943,0.14499630406956848,0.0,0.0,0.0]"
diabetes,testing,20,No Diabetes,blood_pressure | age,blood_pressure | age,1,2,blood_pressure | age,,,2,1,"[0.08944535826483109,0.1347279068413077,-0.03325189051318233,-0.05152765143162186,0.13932798305326566]","[0.08944535826483109,0.1347279068413077,-0.03325189051318233,-0.05152765143162186,0.13932798305326566]","[0.0,0.13706081500132122,0.0,0.0,0.14166089121327902]"
diabetes,testing,15,No Diabetes,glucose | insulin,glucose | insulin,1,2,glucose | insulin,,,2,1,"[0.3139229585754623,-0.08625091913621219,0.1545245379194901,-0.05582398175096745,-0.046884358714595065]","[0.3139229585754623,-0.08625091913621219,0.1545245379194901,-0.05582398175096745,-0.046884358714595065]","[0.21944332877457504,0.0,0.06004490811860266,0.0,0.0]"
diabetes,testing,52,No Diabetes,glucose | insulin,glucose | insulin,1,2,glucose | insulin,,,2,1,"[0.13704280759297024,0.017123711891425586,0.12386005891029633,0.028781857672858346,-0.0273201993919292]","[0.13704280759297024,0.017123711891425586,0.12386005891029633,0.028781857672858346,-0.0273201993919292]","[0.14633549267914756,0.0,0.13315274399647373,0.0,0.0]"
diabetes,testing,58,No Diabetes,glucose | age,glucose | age,1,2,glucose | age,,,2,1,"[0.12590295260565393,0.00408214667612708,0.029463432453008476,-0.03324952184847044,0.15328922700603553]","[0.12590295260565393,0.00408214667612708,0.029463432453008476,-0.03324952184847044,0.15328922700603553]","[0.12605098124598657,0.0,0.0,0.0,0.153437255646368]"
diabetes,testing,11,No Diabetes,glucose | age,glucose | age,1,2,glucose | age,,,2,1,"[0.1319473321543981,0.04189572305669073,0.02977928273929864,-0.04469589473535917,0.12055651733835032]","[0.1319473321543981,0.04189572305669073,0.02977928273929864,-0.04469589473535917,0.12055651733835032]","[0.14543688768471325,0.0,0.0,0.0,0.13404607286866538]"
diabetes,testing,31,No Diabetes,glucose | age,glucose | age,1,2,glucose | age,,,2,1,"[0.2430239365099337,0.003784023666710712,0.009703769506843221,-0.04027265600493132,0.06322001554700543]","[0.2430239365099337,0.003784023666710712,0.009703769506843221,-0.04027265600493132,0.06322001554700543]","[0.229631505094245,0.0,0.0,0.0,0.04982758413131674]"
diabetes,testing,51,No Diabetes,glucose | insulin,glucose | insulin,1,2,glucose | insulin,,,2,1,"[0.14296917431831072,-0.012264004284588376,0.17694349901916367,-0.007916703807464037,-0.020243894045271493]","[0.14296917431831072,-0.012264004284588376,0.17694349901916367,-0.007916703807464037,-0.020243894045271493]","[0.12275687324964879,0.0,0.15673119795050172,0.0,0.0]"
